index,val
0,0
1,13
2,23
3,32
4,42
5,51
6,61
7,69
8,76
9,84
10,90
11,98
12,105
13,110
14,117
15,123
16,129
17,133
18,139
19,144
20,148
21,152
22,158
23,160
24,165
25,168
26,173
27,176
28,179
29,182
30,186
31,188
32,191
33,194
34,197
35,199
36,201
37,204
38,206
39,208
40,209
41,211
42,214
43,217
44,217
45,218
46,220
47,221
48,222
49,225
50,225
51,227
52,229
53,229
54,231
55,231
56,232
57,233
58,235
59,236
60,236
61,237
62,239
63,238
64,239
65,240
66,240
67,241
68,241
69,242
70,243
71,243
72,243
73,245
74,245
75,245
76,246
77,246
78,246
79,248
80,247
81,246
82,249
83,248
84,248
85,250
86,249
87,249
88,250
89,250
90,250
91,250
92,250
93,251
94,251
95,251
96,252
97,252
98,251
99,252
100,252
101,251
102,252
103,252
104,253
105,252
106,253
107,254
108,252
109,253
110,252
111,253
112,254
113,254
114,253
115,253
116,253
117,254
118,253
119,254
120,253
121,254
122,255
123,254
124,255
125,253
126,254
127,254
128,253
129,255
130,254
131,253
132,255
133,255
134,254
135,254
136,255
137,255
138,254
139,255
140,254
141,255
142,254
143,255
144,255
145,255
146,254
147,254
148,255
149,254
150,255
151,253
152,255
153,255
154,255
155,255
156,255
157,255
158,255
159,255
160,255
161,255
162,255
163,254
164,255
165,255
166,255
167,255
168,255
169,254
170,254
171,255
172,255
173,255
174,255
175,255
176,255
177,254
178,255
179,255
180,255
181,255
182,255
183,255
184,255
185,255
186,255
187,255
188,255
189,255
190,254
191,255
192,254
193,255
194,254
195,255
196,255
197,255
198,255
199,255
200,255
201,255
202,255
203,255
204,255
205,255
206,255
207,255
208,255
209,255
210,255
211,255
212,255
213,255
214,255
215,255
216,255
217,255
218,255
219,255
220,255
221,255
222,255
223,255
224,255
225,255
226,255
227,255
228,254
229,255
230,255
231,255
232,255
233,255
234,255
235,255
236,255
237,255
238,255
239,255
240,255
241,255
242,255
243,255
244,255
245,255
246,255
247,255
248,255
249,255
250,255
251,255
252,255
253,255
254,255
255,255
256,255
257,255
258,255
259,255
260,255
261,255
262,255
263,255
264,255
265,255
266,255
267,255
268,255
269,255
270,255
271,255
272,255
273,255
274,255
275,254
276,255
277,255
278,255
279,255
280,254
281,255
282,255
283,254
284,254
285,255
286,255
287,255
288,255
289,255
290,255
291,255
292,255
293,254
294,255
295,255
296,255
297,255
298,255
299,255
300,255
301,255
302,255
303,255
304,255
305,255
306,255
307,255
308,255
309,255
310,255
311,255
312,255
313,255
314,254
315,255
316,255
317,255
318,255
319,255
320,255
321,255
322,255
323,255
324,255
325,255
326,255
327,254
328,255
329,255
330,255
331,255
332,255
333,255
334,255
335,255
336,255
337,255
338,255
339,255
340,255
341,255
342,255
343,255
344,255
345,255
346,255
347,255
348,254
349,255
350,255
351,255
352,255
353,255
354,255
355,254
356,255
357,255
358,255
359,255
360,255
361,255
362,254
363,255
364,255
365,255
366,254
367,255
368,255
369,255
370,255
371,255
372,255
373,255
374,255
375,255
376,255
377,255
378,255
379,255
380,255
381,255
382,255
383,255
384,254
385,255
386,255
387,255
388,255
389,254
390,255
391,255
392,255
393,255
394,255
395,255
396,255
397,255
398,255
399,255
400,255
401,254
402,255
403,254
404,255
405,255
406,254
407,255
408,255
409,255
410,255
411,255
412,255
413,255
414,255
415,255
416,255
417,255
418,255
419,255
420,255
421,255
422,255
423,255
424,255
425,254
426,255
427,255
428,255
429,255
430,255
431,254
432,254
433,254
434,255
435,255
436,255
437,255
438,255
439,255
440,255
441,255
442,255
443,255
444,255
445,255
446,254
447,255
448,255
449,255
450,255
451,255
452,254
453,255
454,255
455,255
456,255
457,255
458,255
459,255
460,255
461,255
462,255
463,255
464,255
465,255
466,255
467,255
468,255
469,255
470,255
471,255
472,255
473,255
474,255
475,255
476,255
477,255
478,255
479,254
480,254
481,255
482,255
483,255
484,255
485,254
486,255
487,255
488,254
489,255
490,255
491,255
492,255
493,255
494,255
495,255
496,255
497,255
498,255
499,255
500,255
501,255
502,255
503,255
504,255
505,255
506,255
507,255
508,254
509,255
510,255
511,255
512,252
513,244
514,233
515,223
516,214
517,206
518,196
519,189
520,181
521,173
522,165
523,160
524,153
525,147
526,140
